OBJECTID,COUNTRY,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
98,Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,1,0,1,0,0,0,8,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2,4,1
99,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,2,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
100,Lebanon,1,1,3,11,11,15,4,4,12,38,86,81,120,234,166,95,106,94,125,141,84,91,91,0,67,38,39,46,23,42,12,5,8,5,1,17,8,18,58,14,5,10,15,121,204,44,41,23
101,Lesotho,0,0,0,0,0,0,0,0,0,2,0,5,2,12,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
102,Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10,0,3,0,1,0,0,2,1,3,3,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1
103,Libya,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,57,291,728,543,422,190
104,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,3,3,67,8,5,0,0,3,1,9,1,0,0,1,0,3,4,0,1
108,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,3,2,1,0,0,0,0,5,0,0,0,1,0,0,1,0,1,1,2,1,0,1,0
109,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,Malaysia,0,0,0,1,0,3,0,2,0,1,0,0,0,1,0,0,15,0,4,2,3,3,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,1,0,0,2,13,12,5,19,4
111,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,3,9,2,1,2
112,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,0,13,1,0,3,0,0,0,0,0,0,0,1,0,5,9,6,1,4,19,58,69,121,99,141
113,Malta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,1,4,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
114,Martinique,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Mauritania,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,5,1,3,0,0,0,0,0,0
116,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Mexico,2,0,1,6,16,10,20,19,30,10,5,3,3,2,4,1,2,1,3,1,5,10,6,0,42,29,75,95,2,1,4,7,0,1,1,1,7,10,8,1,5,2,16,8,5,19,5,20
118,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
119,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0
120,Morocco,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,2,2,4,0,0,0,3,1,0,2,1,2,0,0,0,0,0,0,5,0,0,0,6,0,0,0,1,0,0,0,1,0,0
121,Mozambique,0,0,0,0,0,0,0,0,2,5,0,3,9,4,10,5,7,11,16,64,23,35,19,0,3,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,18,22,8,79,11
122,Myanmar,0,0,0,1,0,0,2,0,0,19,1,0,2,4,0,0,0,1,23,24,9,22,12,0,8,12,13,35,0,4,0,3,4,9,2,8,2,3,20,14,11,2,17,18,15,37,74,115
123,Namibia,0,0,0,0,0,1,2,0,8,31,2,0,2,5,24,8,1,7,17,11,2,1,0,0,1,0,0,0,0,1,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,8,0,3,0,5,9,0,8,23,33,58,15,62,70,83,90,120,39,38,46,46,104,7,48,43,247
125,Netherlands,3,1,1,1,2,4,3,6,3,3,1,1,2,2,1,4,14,1,4,5,6,8,12,0,3,7,6,1,0,1,1,1,2,3,1,0,0,0,1,1,1,2,0,0,1,3,6,1
